Hour,ASSAULT,BATTERY,CRIMINAL DAMAGE,DECEPTIVE PRACTICE,MOTOR VEHICLE THEFT,NARCOTICS,OTHER OFFENSE,THEFT
0,9169,30178,22169,27184,10598,3869,11758,31394
1,6100,25414,13964,2378,5672,2011,4405,15631
2,5051,22482,12630,1865,4832,1281,3442,13398
3,3943,18052,11387,1541,4126,765,2536,11518
4,3089,13272,9311,1170,3473,382,2035,9564
5,2867,10024,7880,1259,3673,281,1993,9122
6,3578,9597,7929,1964,4343,1604,2903,11584
7,5976,12535,9538,3507,5347,1856,4978,16753
8,9204,17140,11140,10290,5842,3345,8233,23460
9,11001,19417,12005,23331,6109,4824,12152,29486
10,12276,21213,11487,13874,5474,9022,11455,31284
11,12845,23518,10649,10428,4859,11395,10849,33363
12,13815,24777,13255,27521,6911,9670,13971,46332
13,12768,23245,11125,12489,5382,8600,9698,39564
14,13726,23991,12251,12662,6159,7644,9581,42194
15,16340,29223,13890,12908,7304,7202,10435,43688
16,15217,28645,14961,10572,7910,6861,10169,42213
17,14480,27818,16912,9624,9447,6604,9964,43362
18,13798,28100,18387,7986,10498,9779,9944,42759
19,12934,28090,17509,6302,10792,13534,10357,37969
20,12195,28854,18430,5196,11071,10826,9892,33185
21,10937,28846,18640,3650,11311,8987,8934,27875
22,9805,29792,20497,2842,11779,7445,7783,26188
23,8947,28846,17096,2368,8868,5467,6467,20783
