Primary Type,domestic_rate
RITUALISM,1.0
OFFENSE INVOLVING CHILDREN,0.7896974146925841
BATTERY,0.5544064122198135
STALKING,0.505344735435596
OTHER OFFENSE,0.38200624954881557
KIDNAPPING,0.37138084632516705
ASSAULT,0.29696618776061084
SEX OFFENSE,0.2282493086577324
CRIMINAL SEXUAL ASSAULT,0.22628726287262874
OBSCENITY,0.2230320699708455
CRIM SEXUAL ASSAULT,0.21531039735940077
HUMAN TRAFFICKING,0.14285714285714285
CRIMINAL DAMAGE,0.1410092420775758
INTIMIDATION,0.1272047033671833
HOMICIDE,0.06963120756224205
