name,max_depth,max_features,n_estimators,cv_auc_mean,cv_auc_std,test_auc,test_f1,test_recall,test_precision,time_sec
feat_03,20,0.3,200,0.871,0.0014,0.8548,0.5413,0.6428,0.4674,195.0
depth_30,30,sqrt,200,0.8717,0.0012,0.8544,0.55,0.5926,0.5131,121.9
feat_05,20,0.5,200,0.8695,0.0013,0.8533,0.541,0.6286,0.4749,289.1
trees_300,20,sqrt,300,0.8694,0.0014,0.8529,0.5372,0.6363,0.4649,131.8
depth_20,20,sqrt,200,0.8693,0.0013,0.8528,0.5377,0.6343,0.4667,73.5
trees_200,20,sqrt,200,0.8693,0.0013,0.8528,0.5377,0.6343,0.4667,88.8
trees_500,20,sqrt,500,0.8696,0.0014,0.8527,0.5394,0.6328,0.47,216.3
trees_100,20,sqrt,100,0.8687,0.0013,0.8519,0.5406,0.6221,0.4779,45.6
feat_log2,20,log2,200,0.8672,0.0013,0.8503,0.5371,0.6204,0.4736,70.9
depth_none,None,sqrt,200,0.869,0.0012,0.8485,0.5534,0.5513,0.5555,146.4
depth_15,15,sqrt,200,0.8657,0.0016,0.8481,0.5271,0.6542,0.4413,51.8
depth_10,10,sqrt,200,0.8582,0.0018,0.8378,0.5292,0.5896,0.4799,35.1
