Primary Type,District,arrest_rate,total_cases
ARSON,1,0.2577,97
ARSON,2,0.1145,131
ARSON,3,0.13,223
ARSON,4,0.0757,383
ARSON,5,0.0625,320
ARSON,6,0.097,361
ARSON,7,0.0814,442
ARSON,8,0.0722,485
ARSON,9,0.0662,408
ARSON,10,0.0838,346
ARSON,11,0.0536,429
ARSON,12,0.0854,199
ARSON,14,0.1439,139
ARSON,15,0.0997,301
ARSON,16,0.1751,177
ARSON,17,0.1164,146
ARSON,18,0.2,75
ARSON,19,0.1866,134
ARSON,20,0.1923,52
ARSON,22,0.1087,138
ARSON,24,0.266,94
ARSON,25,0.0729,384
ASSAULT,1,0.1968,8887
ASSAULT,2,0.109,12091
ASSAULT,3,0.1454,14419
ASSAULT,4,0.1537,16849
ASSAULT,5,0.1756,12909
ASSAULT,6,0.1561,17697
ASSAULT,7,0.155,15089
ASSAULT,8,0.1371,15697
ASSAULT,9,0.155,12095
ASSAULT,10,0.1573,11692
ASSAULT,11,0.1375,15098
ASSAULT,12,0.1211,11300
ASSAULT,14,0.1727,6310
ASSAULT,15,0.16,10270
ASSAULT,16,0.1629,7209
ASSAULT,17,0.1302,5893
ASSAULT,18,0.1691,7263
ASSAULT,19,0.1695,7591
ASSAULT,20,0.166,4216
ASSAULT,22,0.1313,8172
ASSAULT,24,0.1555,6638
ASSAULT,25,0.1504,12703
ASSAULT,31,0.0714,14
BATTERY,-1,0.0,1
BATTERY,1,0.2361,19293
BATTERY,2,0.1644,25694
BATTERY,3,0.1837,33415
BATTERY,4,0.1929,35884
BATTERY,5,0.2019,27227
BATTERY,6,0.1977,39128
BATTERY,7,0.1742,35872
BATTERY,8,0.1932,33626
BATTERY,9,0.2051,26677
BATTERY,10,0.1968,30332
BATTERY,11,0.1605,39539
BATTERY,12,0.1681,23684
BATTERY,14,0.2225,14159
BATTERY,15,0.1803,27407
BATTERY,16,0.2155,16536
BATTERY,17,0.185,14080
BATTERY,18,0.2338,18750
BATTERY,19,0.2213,18702
BATTERY,20,0.2162,9789
BATTERY,22,0.1732,16834
BATTERY,24,0.2032,16759
BATTERY,25,0.2038,29755
BATTERY,31,0.375,16
BURGLARY,1,0.0972,2602
BURGLARY,2,0.0397,4808
BURGLARY,3,0.0342,7668
BURGLARY,4,0.0348,8170
BURGLARY,5,0.0322,5924
BURGLARY,6,0.0382,8347
BURGLARY,7,0.0445,5844
BURGLARY,8,0.0443,10560
BURGLARY,9,0.0657,6272
BURGLARY,10,0.0603,4046
BURGLARY,11,0.0451,4567
BURGLARY,12,0.0764,7291
BURGLARY,14,0.0492,5991
